id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
40451903,New Condominium Viewing Beautiful Toronto Skyline,312944477,Vivian,,Wexford/Maryvale,43.74879,-79.2873,Entire home/apt,121,1,5,2019-12-22,1.97,1,0
40452214,A Little Italy Gem,216658515,Emily,,Trinity-Bellwoods,43.65408,-79.41294,Private room,60,2,1,2019-12-14,0.48,1,0
40452383,1 Bedroom Apartment in Downtown Toronto,70124460,Valéria,,North St.James Town,43.67044,-79.37997,Entire home/apt,84,1,2,2020-01-01,1.07,1,0
40452704,(Unit-2 )Large Beautiful Cozy Room,312957965,Joben,,Malvern,43.81394,-79.21095,Private room,30,1,13,2020-01-24,5,4,348
40452935,BEAUTIFUL LOFT FOR RENT,11004241,Dasha,,Willowdale East,43.75864,-79.41014,Entire home/apt,105,2,4,2020-02-09,4,1,29
40453426,Fully furnished Bsmt Rm in perfect location-TTC,187593300,Chris,,Bathurst Manor,43.75833,-79.46212,Private room,36,3,1,2020-01-03,0.68,13,74
40453525,Beautiful 1 BR apartment near Bluffers Park Beach,312975505,Shamim,,Cliffcrest,43.71841,-79.23681,Entire home/apt,80,1,7,2020-02-09,3.18,1,137
40453638,⭐⭐⭐⭐⭐ Private Bed+Bath Popular DowntownTO Location,311808169,Ben,,Kensington-Chinatown,43.65407,-79.39985,Private room,87,1,12,2020-01-28,4.68,2,42
40453750,⭐⭐⭐⭐⭐ Downtown Toronto Private Studio Apartment,311805447,Anthony,,Kensington-Chinatown,43.65317,-79.40058,Entire home/apt,99,1,11,2020-02-11,4.4,2,46
40453879,Spectacular Downtown Condo,82791,Jennifer,,Regent Park,43.65979,-79.35872,Entire home/apt,95,30,2,2019-12-29,1.2,3,291
40455414,V13 private bedroom shared washroom,247493048,Gina,,Humewood-Cedarvale,43.68944,-79.42582,Private room,30,5,1,2020-01-06,0.75,9,75
40455602,Long term basement apartment 1bed+1bath,247493048,Gina,,Oakwood Village,43.68235,-79.44255,Entire home/apt,60,1,1,2020-01-24,1,9,43
40455724,Private bedroom near Dundas st,247493048,Gina,,Little Portugal,43.64868,-79.42995,Private room,32,4,4,2020-01-30,2.35,9,69
40456292,3 Apartments in the Grand Victorian Home,9443058,Kristle &Faisal,,Annex,43.66628,-79.40762,Entire home/apt,269,1,1,2019-12-06,0.42,24,116
40462441,Luxury 2BRM Apartment in Annex with Free Parking,56100869,Tim,,Annex,43.66822,-79.41259,Entire home/apt,141,30,2,2020-02-01,1.28,2,98
40462715,The Executive,196454024,Mauricio,,Morningside,43.77414,-79.21077,Entire home/apt,68,2,9,2020-02-09,4.29,1,97
40464203,00 Quiet room with PRIVATE bath at York U subway,43488381,Runying,,York University Heights,43.76738,-79.49714,Private room,48,2,0,,,35,365
40466935,Boutique modern condo near Rogers Centre/CN Tower,11270023,Eric,,Waterfront Communities-The Island,43.64008,-79.39784,Entire home/apt,119,2,13,2020-02-11,5.2,2,27
40467842,1+DEN Condo in Downtown CN Tower View,55357443,Rakesh,,Waterfront Communities-The Island,43.64247,-79.38027,Entire home/apt,80,1,2,2020-01-05,1.09,58,185
40468392,3 yr new large 1 bedroom condo plus full size den,210718700,Kelly,,Islington-City Centre West,43.63957,-79.5598,Entire home/apt,99,4,2,2020-01-30,1.43,1,155
40468487,Treasure Mollys House of Music,313109363,Adena,,Mimico (includes Humber Bay Shores),43.61872,-79.49183,Private room,50,1,10,2020-02-09,4.35,2,358
40471520,"Large, Downtown 4bdrm near subway w/ parking",313176125,Jean,,North Riverdale,43.6754,-79.35849,Entire home/apt,199,5,1,2020-01-01,0.67,1,74
40472296,Home away from Home,180322511,Maria,,Broadview North,43.69225,-79.35403,Entire home/apt,69,1,0,,,1,13
40472632,1 Queen bed former 5 stars hotel luxury Yorkville,154255558,Yoesf,,Annex,43.6712,-79.39355,Entire home/apt,95,1,9,2020-01-31,3.91,1,62
40472933,"Bright, Clean, Newly Renovated  Basement Apartment",145533602,Jason,,Runnymede-Bloor West Village,43.65893,-79.48021,Entire home/apt,70,2,0,,,1,127
40473388,Cass inn #2,177084561,Alice,,Tam O'Shanter-Sullivan,43.7772,-79.3048,Private room,45,2,3,2020-01-19,1.53,12,129
40473510,Cass inn #3,177084561,Alice,,Tam O'Shanter-Sullivan,43.77649,-79.30579,Private room,34,2,1,2019-12-08,0.43,12,102
40474278,"Private sunny downtown Apt, 2 mins from Subway",3268755,Sulove,,Dovercourt-Wallace Emerson-Junction,43.66084,-79.4333,Entire home/apt,76,12,0,,,1,0
40474444,(Unit-1)Cozy Room with a big closet,312957965,Joben,,Malvern,43.81391,-79.21294,Private room,32,1,5,2020-01-31,1.97,4,364
40475354,Luxurious Custom Built Home in  Midtown Toronto,32131025,Rommell,,Mount Dennis,43.68878,-79.50594,Entire home/apt,349,6,0,,,1,179
40480898,Nice bedroom in 1st floor at nice area,282118315,Hanh,,Black Creek,43.76974,-79.52855,Private room,20,1,6,2020-02-07,2.57,2,316
40481324,Harbourfront Condo,74833726,Carrie,,Niagara,43.63685,-79.39985,Entire home/apt,274,2,0,,,1,268
40485507,Ultra comfy & spacious condo~King West w parking,101247694,David,,South Parkdale,43.6396,-79.4254,Entire home/apt,150,7,0,,,1,159
40486042,Quiet Master Bedroom w Private Bath @Drake Hotel,136169533,Laurie,,South Parkdale,43.64079,-79.42367,Private room,65,7,0,,,3,90
40486536,Beautiful + Spacious in all of the Entertainment,28284909,Mark,,Waterfront Communities-The Island,43.6413,-79.38257,Entire home/apt,150,1,1,2019-12-27,0.6,24,60
40486831,Gorgeous one  bedroom with great view of the lake,136652804,Rose,,Mimico (includes Humber Bay Shores),43.62317,-79.47831,Private room,80,1,2,2019-12-26,1,1,362
40486895,⛱❤ of Downtown⛱Pool⛱Balcony⛱Parking⛱300Mbps⛱Gym,3676504,Darnell,,Niagara,43.63591,-79.40521,Entire home/apt,130,1,11,2020-02-05,5.08,3,28
40487113,Fantastic 1 Bed+ Den loft in heart of west-end,242796660,Rod,,Niagara,43.64431,-79.41103,Entire home/apt,99,5,0,,,1,90
40489779,Share charming modern house in Leslieville,156771771,Steve,,South Riverdale,43.65978,-79.33716,Private room,60,10,1,2019-12-31,0.64,1,157
40490018,Beautiful Condo Unit 5mins from the CN Tower!!!,313442456,UrbanHommes,,Waterfront Communities-The Island,43.64106,-79.396,Entire home/apt,150,1,13,2020-01-24,5.57,2,193
40490060,All New Charming 1Bdr&Parking near Yonge/Sheppard,312438327,Mike,,Lansing-Westgate,43.75605,-79.42167,Entire home/apt,109,3,1,2020-01-02,0.68,2,84
40490396,A warm and sweet room for your family,229437326,Wei,,Scarborough Village,43.73074,-79.21702,Private room,40,1,3,2020-01-05,1.25,1,177
40490734,Quite and spacious room,293243739,Lloyd,,Cabbagetown-South St.James Town,43.66482,-79.37185,Private room,61,4,0,,,1,0
40490846,Classic & Trendy Yorkville Condo (Yonge & Bloor),261060328,Toucan,,Annex,43.67022,-79.3934,Entire home/apt,199,1,13,2020-02-03,5.82,11,352
40491497,Pape and Danforth 1 Bedroom Gem!,55967879,Brigid,,Blake-Jones,43.6772,-79.34367,Entire home/apt,125,5,0,,,2,76
40492066,Quarto compartilhado em North York Sheppard Yonge,145191068,Alexandre,,Lansing-Westgate,43.76148,-79.41705,Shared room,20,30,0,,,3,47
40492518,toronto nice room,106544696,辉,,Tam O'Shanter-Sullivan,43.77713,-79.30383,Private room,80,1,0,,,1,365
40493064,Grand room 320U5,307627278,霞(Xia),,Willowdale East,43.7826,-79.39405,Private room,33,1,3,2020-01-30,3,39,363
40493578,Modern Spacious two beds-15 mins from airport,260271311,Sabrina,,Weston,43.70691,-79.51053,Entire home/apt,99,1,2,2020-01-12,1.54,1,67
40493976,★★★★ Downtown 1bed Modern High-Rise,211526817,Golsana,,Waterfront Communities-The Island,43.64214,-79.38271,Entire home/apt,121,2,1,2019-12-30,0.64,40,78
40501035,Artist home in quiet neighbourhood,295849143,Andrew,,Old East York,43.69347,-79.34466,Private room,190,1,0,,,1,14
40501399,Beautiful bedroom in a downtown condo,167635594,Juan,,Church-Yonge Corridor,43.66029,-79.37965,Private room,45,10,1,2020-01-02,0.68,2,194
40502101,"Big, Bright, Beautiful Bloor West Roncesvalles Apt",3058259,"MJ, Dans & Sam",,High Park North,43.6564,-79.45452,Entire home/apt,148,2,9,2020-02-09,4.15,2,47
40502273,"Superior Bsmt room in perfect location, TTCstation",187593300,Chris,,Bathurst Manor,43.76003,-79.46177,Private room,34,3,0,,,13,101
40502399,Grand room with Ensuite toilet,307627278,霞(Xia),,Willowdale East,43.78103,-79.39409,Private room,49,1,2,2020-01-20,2,39,363
40503244,one bedroom with private bathroom female only,127095094,Jiao,,Willowdale East,43.75923,-79.40742,Private room,90,1,1,2019-12-29,0.63,1,0
40503721,Light filled home in West Queen West,3616164,Mitch,,Roncesvalles,43.64383,-79.43295,Entire home/apt,175,30,0,,,1,60
